Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10n,C376807
"C10, C11",0603,2,2.2nF,C107082
"C12, C13",1206,2,1µ,C444884
"C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28",0201,15,100n,C5142565
"C3, C4, C5, C9",0402,4,0.1uF,C361203
C6,0805,1,10uF,C1713
"C7, C8",0402,2,2.2uF,C385032
"D1, D2, D7, D8, D9",D_SOD-523,5,ESD5Z5.0,C475685
"D3, D4, D5, D6",D_SOD-523,4,ESD5Z3.3,C475684
"FB1, FB2",0805,2,100Ω@100MHz,C124102
IC1,SSOP-20_5.3x7.2mm_P0.65mm,1,AR1021,C220291
"Q1, Q2",SOT-23,2,BSS138,C5337205
"R1, R11, R2, R3, R4",0402,5,10k,C163811
"R10, R12, R15",0402,3,100k,C176119
"R13, R14, R8, R9",0402,4,1k,C3152105
R5,0402,1,20k,C3017501
"R6, R7",0402,2,470,C3015779
U10,SOT-23-5,1,74LVC1G08,C434068
"U11, U12",SOT-23-5,2,74LVC1G34,C840096
U13,TSSOP-14_4.4x5mm_P0.65mm,1,74LVC32,C352974
U14,TSSOP-16_4.4x5mm_P0.65mm,1,74HC238,C60434
U15,VSSOP-8_2.4x2.1mm_P0.5mm,1,74LVC1G139,C153798
U16,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100,C131154
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,74CB3T3245,C1547227
"U3, U4, U5",TSSOP-20_4.4x6.5mm_P0.65mm,3,74LVC245,C6082
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LY68L6400SLIT,C261881
U7,SOT-23-5,1,74LVC1G06,C840103
U8,TSSOP-14_4.4x5mm_P0.65mm,1,74LVC02,C75069
U9,SOT-23-5,1,74LVC1G04,C460517
